epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.5501,1.09266,3.23338,1.54551,0.49819,0.27071,0.24252,0.15326,1.24341,2.01933,1.8734,0.000100619,0.000100619,0.000100619
2,137.449,1.09582,2.16467,1.51625,0.5684,0.26314,0.26635,0.15432,1.34098,1.93457,2.02548,0.000197627,0.000197627,0.000197627
3,193.838,1.12586,2.0361,1.54955,0.36228,0.31514,0.27167,0.16234,1.30354,1.99908,2.05029,0.000290635,0.000290635,0.000290635
4,250.126,1.12939,1.9521,1.53767,0.39684,0.29716,0.28245,0.16753,1.33107,1.96749,1.9898,0.000285002,0.000285002,0.000285002
5,306.698,1.10896,1.85306,1.52666,0.45386,0.38578,0.36814,0.22628,1.28491,1.71289,1.92256,0.000279002,0.000279002,0.000279002
6,362.881,1.10475,1.78333,1.52428,0.55753,0.36763,0.40911,0.25415,1.26707,1.62255,1.90272,0.000273003,0.000273003,0.000273003
7,419.121,1.07716,1.70154,1.4966,0.45355,0.447,0.45087,0.28269,1.22158,1.54587,1.85181,0.000267004,0.000267004,0.000267004
8,475.269,1.06695,1.63903,1.4872,0.43173,0.45964,0.40588,0.24091,1.32418,1.68201,2.0317,0.000261004,0.000261004,0.000261004
9,530.981,1.04325,1.55877,1.46801,0.46712,0.52692,0.48391,0.30573,1.19065,1.40012,1.82299,0.000255005,0.000255005,0.000255005
10,587.182,1.03293,1.50477,1.46041,0.48386,0.55073,0.51211,0.32038,1.2106,1.38979,1.83824,0.000249005,0.000249005,0.000249005
11,643.263,1.02361,1.44937,1.45497,0.55298,0.50428,0.52472,0.33311,1.1615,1.34022,1.7928,0.000243006,0.000243006,0.000243006
12,699.258,1.0144,1.40905,1.43913,0.52682,0.54332,0.51777,0.3346,1.1768,1.36215,1.78526,0.000237007,0.000237007,0.000237007
13,755.214,1.0015,1.37755,1.43837,0.43132,0.52721,0.4955,0.32221,1.15467,1.38751,1.77195,0.000231007,0.000231007,0.000231007
14,810.869,1.00366,1.34523,1.43474,0.57185,0.57469,0.5779,0.36928,1.13823,1.2371,1.77024,0.000225008,0.000225008,0.000225008
15,867.945,0.97649,1.26597,1.41247,0.56316,0.59033,0.59744,0.39076,1.12335,1.24034,1.75147,0.000219008,0.000219008,0.000219008
16,924.643,0.98551,1.28099,1.42091,0.63612,0.52192,0.60449,0.39256,1.15297,1.19702,1.75195,0.000213009,0.000213009,0.000213009
17,980.945,0.9653,1.2308,1.40571,0.68789,0.53685,0.63471,0.40155,1.15214,1.15733,1.78975,0.00020701,0.00020701,0.00020701
18,1036.84,0.95795,1.21009,1.40171,0.59966,0.63164,0.64447,0.42223,1.08956,1.15489,1.70815,0.00020101,0.00020101,0.00020101
19,1092.93,0.95392,1.15746,1.39431,0.61088,0.58879,0.64208,0.41628,1.09933,1.17688,1.71059,0.000195011,0.000195011,0.000195011
20,1148.52,0.94323,1.13726,1.38408,0.6256,0.60402,0.65403,0.42357,1.10999,1.11468,1.71356,0.000189011,0.000189011,0.000189011
21,1204.71,0.92982,1.11003,1.37774,0.64728,0.65292,0.67708,0.43468,1.09946,1.08085,1.71214,0.000183012,0.000183012,0.000183012
22,1260.74,0.91455,1.0728,1.36677,0.61019,0.67271,0.68722,0.44977,1.07835,1.05491,1.72135,0.000177013,0.000177013,0.000177013
