epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.534,1.60333,2.28904,1.62915,0.7994,0.20365,0.21042,0.10357,1.72526,2.02656,1.78251,0.000302007,0.000302007,0.000302007
2,188.313,1.62147,1.78143,1.64809,0.79423,0.20741,0.22018,0.10425,1.75963,2.01834,1.83747,0.000593027,0.000593027,0.000593027
3,267.045,1.64179,1.72439,1.64791,0.74316,0.14302,0.22181,0.11013,1.7005,1.77834,1.74709,0.000872049,0.000872049,0.000872049
4,343.946,1.591,1.65976,1.61133,0.68891,0.22492,0.26754,0.13289,1.68987,1.69029,1.73946,0.000855005,0.000855005,0.000855005
5,422.062,1.55397,1.58728,1.58768,0.69077,0.27405,0.2849,0.14678,1.64477,1.59509,1.70521,0.000837007,0.000837007,0.000837007
6,498.887,1.49833,1.50276,1.55111,0.73146,0.29221,0.31916,0.15813,1.56831,1.43004,1.62723,0.000819009,0.000819009,0.000819009
7,577.056,1.47094,1.4236,1.5194,0.74774,0.28863,0.32007,0.16299,1.52993,1.4441,1.56952,0.000801011,0.000801011,0.000801011
8,656.354,1.43383,1.35978,1.49178,0.85854,0.29159,0.45687,0.22189,1.43028,1.26164,1.53032,0.000783013,0.000783013,0.000783013
9,734.146,1.40294,1.31154,1.4602,0.73996,0.39342,0.43487,0.22214,1.46947,1.27782,1.56724,0.000765014,0.000765014,0.000765014
10,810.81,1.38446,1.29136,1.44967,0.84434,0.31853,0.45578,0.23793,1.41379,1.24641,1.49703,0.000747016,0.000747016,0.000747016
11,887.439,1.37155,1.2362,1.44434,0.90056,0.29967,0.48606,0.25798,1.35022,1.11456,1.45377,0.000729018,0.000729018,0.000729018
12,964.328,1.3439,1.19802,1.41913,0.78819,0.38526,0.49245,0.27314,1.34227,1.10436,1.42671,0.00071102,0.00071102,0.00071102
13,1040.92,1.33271,1.19284,1.41624,0.73473,0.47581,0.51025,0.30517,1.29098,1.06626,1.415,0.000693022,0.000693022,0.000693022
14,1117.51,1.3111,1.15169,1.39998,0.6364,0.53948,0.57724,0.32664,1.27791,1.03792,1.39116,0.000675023,0.000675023,0.000675023
15,1194.97,1.29562,1.13184,1.38354,0.55182,0.58412,0.55735,0.32022,1.24983,0.99973,1.36662,0.000657025,0.000657025,0.000657025
16,1271.07,1.27322,1.09667,1.37019,0.57537,0.5428,0.5636,0.34316,1.25525,0.98341,1.37792,0.000639027,0.000639027,0.000639027
17,1347.65,1.25595,1.07513,1.3636,0.74852,0.5105,0.59992,0.35655,1.21857,0.94193,1.35424,0.000621029,0.000621029,0.000621029
18,1424,1.23973,1.04882,1.34346,0.54586,0.53465,0.55934,0.33579,1.18597,0.88885,1.30985,0.000603031,0.000603031,0.000603031
19,1500.12,1.22647,1.01619,1.33318,0.58342,0.64466,0.58179,0.3588,1.17037,0.87339,1.30772,0.000585032,0.000585032,0.000585032
20,1576.69,1.20488,0.99879,1.32045,0.62728,0.66276,0.64552,0.38306,1.15328,0.83136,1.28712,0.000567034,0.000567034,0.000567034
21,1653.03,1.18644,0.96112,1.3033,0.56065,0.66554,0.65467,0.38816,1.13492,0.82739,1.27767,0.000549036,0.000549036,0.000549036
22,1729.65,1.17856,0.96375,1.30545,0.62872,0.75735,0.72353,0.40153,1.14127,0.83627,1.26672,0.000531038,0.000531038,0.000531038
23,1806.44,1.17644,0.9446,1.29411,0.65984,0.70854,0.7139,0.43255,1.09956,0.78812,1.25963,0.00051304,0.00051304,0.00051304
24,1882.91,1.1498,0.91807,1.2865,0.68867,0.70712,0.78998,0.50176,1.08408,0.77186,1.23921,0.000495041,0.000495041,0.000495041
25,1959.42,1.13318,0.88422,1.26718,0.75564,0.73623,0.8059,0.47373,1.05841,0.7181,1.21731,0.000477043,0.000477043,0.000477043
26,2035.6,1.13511,0.87616,1.26919,0.71993,0.73445,0.79848,0.5265,1.03818,0.72047,1.20803,0.000459045,0.000459045,0.000459045
27,2111.98,1.10467,0.84608,1.25125,0.84227,0.75502,0.8564,0.55863,1.01516,0.65636,1.18571,0.000441047,0.000441047,0.000441047
28,2188.39,1.09848,0.84389,1.2514,0.85431,0.77988,0.87182,0.56236,0.98246,0.63607,1.16697,0.000423049,0.000423049,0.000423049
29,2264.71,1.07847,0.80873,1.22797,0.87482,0.73217,0.85338,0.54608,0.97982,0.62743,1.15431,0.00040505,0.00040505,0.00040505
30,2340.67,1.07101,0.80565,1.22881,0.79456,0.78506,0.8613,0.57771,0.96781,0.61925,1.15326,0.000387052,0.000387052,0.000387052
31,2417.02,1.05816,0.79649,1.22303,0.83375,0.77369,0.8738,0.60196,0.93046,0.58316,1.13251,0.000369054,0.000369054,0.000369054
32,2493.49,1.03166,0.75733,1.20019,0.86489,0.75006,0.89374,0.65325,0.90448,0.5609,1.11062,0.000351056,0.000351056,0.000351056
33,2569.95,1.01878,0.74853,1.20077,0.81269,0.81787,0.88273,0.62044,0.88661,0.54922,1.10227,0.000333058,0.000333058,0.000333058
34,2646.11,1.01386,0.73047,1.18984,0.86977,0.80035,0.90177,0.63352,0.87,0.53361,1.08692,0.000315059,0.000315059,0.000315059
35,2721.96,0.99427,0.707,1.17497,0.78598,0.79829,0.8828,0.59069,0.85977,0.51318,1.07581,0.000297061,0.000297061,0.000297061
36,2798.02,0.98067,0.69716,1.17395,0.91328,0.83831,0.92742,0.64583,0.8476,0.49933,1.06593,0.000279063,0.000279063,0.000279063
37,2874.19,0.97148,0.68855,1.16004,0.87709,0.88081,0.93286,0.67848,0.84227,0.4917,1.05762,0.000261065,0.000261065,0.000261065
38,2950.44,0.95694,0.67896,1.15324,0.8914,0.81481,0.90886,0.67837,0.80923,0.47203,1.04717,0.000243067,0.000243067,0.000243067
39,3026.46,0.94404,0.66481,1.14552,0.90114,0.82218,0.92537,0.69901,0.79218,0.45626,1.02941,0.000225068,0.000225068,0.000225068
40,3102.95,0.91751,0.6395,1.12744,0.91719,0.91509,0.97276,0.72352,0.78127,0.45152,1.02392,0.00020707,0.00020707,0.00020707
41,3182.56,0.85682,0.5469,1.09221,0.89649,0.87006,0.93889,0.72358,0.77072,0.43705,1.01799,0.000189072,0.000189072,0.000189072
42,3258.52,0.82664,0.5119,1.06962,0.85677,0.88192,0.92994,0.68513,0.76058,0.4411,1.0092,0.000171074,0.000171074,0.000171074
43,3334.35,0.81076,0.49013,1.05815,0.93535,0.9255,0.97977,0.758,0.72974,0.41335,0.99335,0.000153076,0.000153076,0.000153076
44,3410.57,0.78782,0.47669,1.04542,0.89493,0.88647,0.94845,0.74262,0.71105,0.39687,0.98083,0.000135077,0.000135077,0.000135077
45,3486.3,0.77701,0.46444,1.03932,0.90813,0.96568,0.9746,0.76649,0.69184,0.38536,0.97171,0.000117079,0.000117079,0.000117079
