epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.166,1.15358,3.08979,1.34428,0.57324,0.16324,0.14586,0.10461,1.08981,2.28223,1.24641,0.00333249,0.00333249,0.00333249
2,1170.11,1.13872,2.49352,1.32511,0.45112,0.17596,0.15069,0.10505,1.12411,2.24463,1.27701,0.00653384,0.00653384,0.00653384
3,1733.2,1.19956,2.60878,1.36674,0.49297,0.16211,0.14137,0.09652,1.14431,2.26441,1.30802,0.00960319,0.00960319,0.00960319
4,2282.12,1.21206,2.60298,1.37721,0.50281,0.18273,0.16189,0.11302,1.09267,2.11499,1.27298,0.009406,0.009406,0.009406
5,2833.73,1.16639,2.42261,1.34387,0.48394,0.20267,0.18825,0.13342,1.05133,2.00873,1.24239,0.009208,0.009208,0.009208
6,3382.11,1.13899,2.30515,1.32356,0.4815,0.22811,0.20889,0.14909,1.02665,1.92155,1.22022,0.00901,0.00901,0.00901
7,3929.84,1.11742,2.22076,1.30759,0.47299,0.24048,0.22561,0.16235,1.00848,1.85871,1.20597,0.008812,0.008812,0.008812
8,4476.96,1.10047,2.15112,1.29626,0.4984,0.24906,0.23745,0.17241,0.99318,1.81716,1.19276,0.008614,0.008614,0.008614
9,5037.83,1.08688,2.10474,1.28598,0.48171,0.26471,0.24824,0.18187,0.9817,1.78538,1.186,0.008416,0.008416,0.008416
10,5591.72,1.07668,2.06118,1.27957,0.45585,0.27882,0.25277,0.18423,0.97634,1.76234,1.18015,0.008218,0.008218,0.008218
11,6142.29,1.0686,2.01812,1.26934,0.4693,0.27709,0.26003,0.19031,0.96737,1.73999,1.17184,0.00802,0.00802,0.00802
12,6694.2,1.05712,1.98139,1.26344,0.46229,0.2844,0.26433,0.19387,0.96222,1.7231,1.16833,0.007822,0.007822,0.007822
13,7244.72,1.05098,1.94864,1.2581,0.46951,0.28991,0.26648,0.19586,0.95851,1.71113,1.16544,0.007624,0.007624,0.007624
14,7794.43,1.04455,1.92228,1.2537,0.47312,0.29246,0.26903,0.19704,0.95555,1.70388,1.1636,0.007426,0.007426,0.007426
15,8344.86,1.04017,1.89721,1.24906,0.47968,0.2909,0.27122,0.19882,0.95393,1.69838,1.16185,0.007228,0.007228,0.007228
16,8896.33,1.02742,1.86391,1.24295,0.49183,0.29083,0.27545,0.20182,0.9523,1.6939,1.16068,0.00703,0.00703,0.00703
17,9444.56,1.02858,1.84544,1.24025,0.48488,0.29345,0.27688,0.20332,0.95047,1.68924,1.15893,0.006832,0.006832,0.006832
