epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1395,1.39051,1.38968,1.32325,0.65193,0.43732,0.43398,0.23262,1.29956,1.099,1.23715,0.00332781,0.00332781,0.00332781
2,144.155,1.30344,1.02629,1.26163,0.75317,0.47223,0.51293,0.29546,1.42678,1.33556,1.37554,0.00659519,0.00659519,0.00659519
3,209.935,1.38412,1.1275,1.31282,0.70147,0.4085,0.45821,0.23821,1.59917,1.57091,1.52487,0.00979658,0.00979658,0.00979658
4,277.308,1.45773,1.21635,1.36395,0.71597,0.49379,0.52213,0.27858,1.5925,1.54976,1.53647,0.009703,0.009703,0.009703
5,342.956,1.39208,1.14588,1.33064,0.79252,0.46246,0.50893,0.30228,1.53106,1.43101,1.47618,0.009604,0.009604,0.009604
6,408.811,1.32668,1.07264,1.29356,0.72912,0.53511,0.57852,0.33461,1.48376,1.38448,1.43789,0.009505,0.009505,0.009505
7,473.73,1.28861,1.03792,1.27439,0.85589,0.51174,0.59029,0.3426,1.46143,1.32868,1.42674,0.009406,0.009406,0.009406
8,539.272,1.2486,1.00069,1.25724,0.75731,0.56499,0.56642,0.34832,1.43058,1.31131,1.38899,0.009307,0.009307,0.009307
9,604.655,1.20789,0.95307,1.23289,0.83129,0.56028,0.60982,0.39171,1.42045,1.27455,1.39424,0.009208,0.009208,0.009208
10,669.932,1.18598,0.934,1.22243,0.84688,0.55738,0.59187,0.37341,1.40952,1.28053,1.37753,0.009109,0.009109,0.009109
11,734.988,1.15397,0.89845,1.20124,0.84579,0.5413,0.60761,0.3904,1.3766,1.17695,1.3467,0.00901,0.00901,0.00901
12,800.48,1.13062,0.878,1.19331,0.84543,0.57466,0.61406,0.42065,1.35424,1.19771,1.33602,0.008911,0.008911,0.008911
13,867.836,1.11588,0.85849,1.17753,0.85891,0.5377,0.59682,0.41145,1.36889,1.20932,1.35755,0.008812,0.008812,0.008812
14,932.964,1.09586,0.83486,1.16551,0.84043,0.5568,0.62595,0.44176,1.33698,1.14483,1.32326,0.008713,0.008713,0.008713
15,998.096,1.06666,0.80935,1.14902,0.84071,0.58581,0.60604,0.43313,1.33643,1.14904,1.31909,0.008614,0.008614,0.008614
16,1062.85,1.05921,0.80469,1.14932,0.88088,0.52887,0.60064,0.43029,1.34535,1.19578,1.3407,0.008515,0.008515,0.008515
17,1128.11,1.04261,0.78447,1.13878,0.82456,0.59236,0.60523,0.44157,1.34145,1.13589,1.33191,0.008416,0.008416,0.008416
18,1192.93,1.02571,0.76449,1.12673,0.89308,0.57898,0.6219,0.44314,1.33579,1.13315,1.3172,0.008317,0.008317,0.008317
19,1258.68,1.01484,0.75968,1.12714,0.89458,0.56935,0.63847,0.46687,1.31149,1.12658,1.29776,0.008218,0.008218,0.008218
20,1324.73,1.00241,0.74232,1.11531,0.86173,0.57175,0.61681,0.45341,1.30715,1.07561,1.31224,0.008119,0.008119,0.008119
21,1389.24,0.98459,0.73376,1.10895,0.85896,0.57376,0.6137,0.44674,1.31612,1.06393,1.32367,0.00802,0.00802,0.00802
22,1453.32,0.97546,0.72025,1.10241,0.84823,0.58841,0.62663,0.46417,1.30448,1.04975,1.30478,0.007921,0.007921,0.007921
23,1518.38,0.96572,0.70623,1.09692,0.89799,0.55411,0.6244,0.45921,1.30283,1.07787,1.3069,0.007822,0.007822,0.007822
24,1583.54,0.95286,0.69989,1.09204,0.85952,0.59032,0.63911,0.48065,1.30824,1.08982,1.30826,0.007723,0.007723,0.007723
25,1648.43,0.94219,0.68679,1.08379,0.8673,0.57812,0.64051,0.47935,1.28834,1.03972,1.29159,0.007624,0.007624,0.007624
26,1713.3,0.93975,0.68862,1.08244,0.88089,0.56962,0.639,0.48243,1.27596,1.01742,1.28516,0.007525,0.007525,0.007525
27,1778.4,0.93049,0.68152,1.0804,0.87527,0.585,0.63604,0.48524,1.26899,1.03593,1.28524,0.007426,0.007426,0.007426
28,1842.95,0.92065,0.66286,1.07138,0.65746,0.5941,0.62977,0.47889,1.28964,1.0401,1.29839,0.007327,0.007327,0.007327
29,1907.73,0.90894,0.66375,1.06496,0.85112,0.60268,0.65871,0.49546,1.3011,1.05217,1.31437,0.007228,0.007228,0.007228
30,1972.91,0.90656,0.66077,1.06887,0.87837,0.59222,0.63867,0.48141,1.27774,1.09044,1.28395,0.007129,0.007129,0.007129
31,2037.36,0.89467,0.64732,1.05976,0.91141,0.57299,0.64963,0.49264,1.26867,1.03064,1.28297,0.00703,0.00703,0.00703
32,2101.86,0.88775,0.63974,1.05688,0.6404,0.67891,0.6923,0.5095,1.26773,1.07528,1.2945,0.006931,0.006931,0.006931
33,2166.66,0.87386,0.63018,1.04942,0.87109,0.58287,0.62584,0.48114,1.27601,1.05283,1.28759,0.006832,0.006832,0.006832
34,2232.69,0.87031,0.62461,1.04648,0.65431,0.64243,0.64435,0.49681,1.27244,1.08771,1.2892,0.006733,0.006733,0.006733
35,2298.02,0.85952,0.61471,1.04048,0.85269,0.59946,0.64059,0.49573,1.26335,0.99645,1.29207,0.006634,0.006634,0.006634
36,2362.6,0.85844,0.61197,1.04057,0.80013,0.63533,0.68196,0.52187,1.27644,1.04575,1.29503,0.006535,0.006535,0.006535
37,2430.11,0.84888,0.60663,1.0385,0.69379,0.64867,0.67627,0.52619,1.259,1.04329,1.27768,0.006436,0.006436,0.006436
38,2495.41,0.84088,0.60051,1.0338,0.85764,0.6024,0.65103,0.50398,1.27523,1.01934,1.28895,0.006337,0.006337,0.006337
39,2560.54,0.84136,0.60276,1.0338,0.8761,0.58622,0.6313,0.49782,1.25491,1.02418,1.27682,0.006238,0.006238,0.006238
40,2625.67,0.8217,0.58699,1.02601,0.88422,0.58426,0.63416,0.50527,1.26468,1.01745,1.27775,0.006139,0.006139,0.006139
41,2691.13,0.81759,0.58235,1.02259,0.71685,0.66925,0.67693,0.52895,1.25518,1.03196,1.28587,0.00604,0.00604,0.00604
42,2756.53,0.80845,0.57434,1.01768,0.85969,0.59684,0.67306,0.52642,1.24541,1.00961,1.27173,0.005941,0.005941,0.005941
43,2822.05,0.80746,0.57314,1.01523,0.78727,0.65252,0.68054,0.5304,1.26581,1.01229,1.28585,0.005842,0.005842,0.005842
44,2887.84,0.80527,0.56704,1.01515,0.82952,0.63287,0.68134,0.54164,1.27054,1.03257,1.2939,0.005743,0.005743,0.005743
45,2953.72,0.79641,0.56336,1.00999,0.65257,0.68682,0.65801,0.53038,1.26652,1.00299,1.30211,0.005644,0.005644,0.005644
46,3020,0.78592,0.55505,1.0065,0.60972,0.68332,0.66821,0.52687,1.26979,1.05714,1.29873,0.005545,0.005545,0.005545
47,3085.59,0.78014,0.54939,1.00487,0.70797,0.64724,0.66426,0.52635,1.25585,1.02844,1.2901,0.005446,0.005446,0.005446
48,3151.06,0.77567,0.54161,0.99899,0.76122,0.64919,0.67765,0.53684,1.25791,1.03907,1.29082,0.005347,0.005347,0.005347
49,3217.05,0.77721,0.54569,1.00482,0.76688,0.63688,0.68848,0.546,1.25446,1.02448,1.29042,0.005248,0.005248,0.005248
50,3283.04,0.76285,0.53496,0.99364,0.62143,0.68883,0.67473,0.53951,1.26067,1.0332,1.29829,0.005149,0.005149,0.005149
51,3348.83,0.76249,0.53857,0.99947,0.85936,0.63984,0.68694,0.55179,1.24873,1.0421,1.29274,0.00505,0.00505,0.00505
52,3414.54,0.75412,0.53208,0.99376,0.87635,0.62862,0.68843,0.54286,1.25247,1.05606,1.29208,0.004951,0.004951,0.004951
53,3480.6,0.75196,0.52643,0.99234,0.73628,0.64033,0.66891,0.53814,1.24604,1.05935,1.28032,0.004852,0.004852,0.004852
54,3546.41,0.74877,0.52231,0.98864,0.85029,0.63914,0.70428,0.57535,1.24865,1.05317,1.29037,0.004753,0.004753,0.004753
55,3612.33,0.74655,0.52067,0.98737,0.85984,0.63307,0.68582,0.54811,1.24108,1.04517,1.27724,0.004654,0.004654,0.004654
56,3678.27,0.736,0.51274,0.98454,0.83464,0.63896,0.67991,0.55175,1.24084,1.03738,1.27679,0.004555,0.004555,0.004555
57,3744.31,0.73189,0.51087,0.98587,0.6404,0.683,0.65647,0.52334,1.25702,1.05316,1.29951,0.004456,0.004456,0.004456
58,3810.16,0.72334,0.50668,0.97905,0.68983,0.66975,0.66543,0.53572,1.2593,1.04028,1.30445,0.004357,0.004357,0.004357
59,3875.23,0.72471,0.50506,0.98196,0.76136,0.63657,0.67222,0.53898,1.27132,1.0615,1.31617,0.004258,0.004258,0.004258
60,3939.48,0.7154,0.49612,0.97548,0.67302,0.69471,0.69849,0.54812,1.27683,1.07735,1.32353,0.004159,0.004159,0.004159
61,4004.14,0.70402,0.49008,0.97264,0.7847,0.62187,0.67167,0.53702,1.26192,1.05988,1.30442,0.00406,0.00406,0.00406
62,4069.07,0.70524,0.48705,0.97047,0.88442,0.60512,0.69373,0.5617,1.25956,1.05475,1.30708,0.003961,0.003961,0.003961
63,4135.11,0.70116,0.48403,0.96969,0.9078,0.61811,0.71881,0.5664,1.25225,1.05029,1.30302,0.003862,0.003862,0.003862
64,4200.29,0.69158,0.48122,0.96706,0.91268,0.6141,0.7028,0.55726,1.25882,1.054,1.30445,0.003763,0.003763,0.003763
65,4266.24,0.69133,0.47836,0.96431,0.8321,0.63894,0.70619,0.56114,1.259,1.05507,1.31061,0.003664,0.003664,0.003664
66,4331.77,0.68521,0.47515,0.96321,0.70354,0.70163,0.71283,0.56105,1.26108,1.06014,1.31215,0.003565,0.003565,0.003565
67,4397.65,0.68203,0.47306,0.96013,0.80834,0.71491,0.72477,0.56921,1.26249,1.0543,1.31602,0.003466,0.003466,0.003466
68,4463.81,0.67965,0.4709,0.96053,0.80734,0.71267,0.72038,0.56853,1.2605,1.06152,1.31518,0.003367,0.003367,0.003367
69,4529.99,0.67033,0.46566,0.95611,0.67941,0.71408,0.69602,0.56147,1.26501,1.07102,1.32003,0.003268,0.003268,0.003268
70,4595.85,0.66454,0.4588,0.95278,0.78206,0.67765,0.69286,0.56194,1.26228,1.069,1.32347,0.003169,0.003169,0.003169
