epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.491,1.0345,1.40788,1.32626,0.79035,0.44285,0.5444,0.38346,1.04741,0.90412,1.41286,0.00333145,0.00333145,0.00333145
2,676.433,1.02255,1.02298,1.3168,0.71763,0.4505,0.47717,0.32495,1.05959,0.91851,1.44655,0.00653282,0.00653282,0.00653282
3,1002.67,1.10274,1.14337,1.37333,0.73021,0.38489,0.44507,0.29235,1.15448,1.03286,1.55302,0.00960219,0.00960219,0.00960219
4,1327.66,1.12033,1.16031,1.3862,0.78282,0.45195,0.50383,0.3605,1.02853,0.81911,1.42218,0.009406,0.009406,0.009406
5,1652.3,1.06548,1.05685,1.35123,0.73929,0.49419,0.48588,0.34417,1.01874,0.78407,1.3952,0.009208,0.009208,0.009208
6,1976.02,1.0293,0.98578,1.32472,0.7906,0.48748,0.53018,0.37996,0.97032,0.71824,1.35471,0.00901,0.00901,0.00901
7,2299.9,0.99718,0.92798,1.29777,0.7859,0.50751,0.54164,0.39799,0.94685,0.76377,1.33645,0.008812,0.008812,0.008812
8,2624.28,0.98139,0.89714,1.28466,0.73951,0.58464,0.58782,0.43709,0.91931,0.65738,1.31248,0.008614,0.008614,0.008614
9,2948.94,0.9547,0.85767,1.26882,0.64294,0.54858,0.59171,0.43149,0.90757,0.65758,1.29442,0.008416,0.008416,0.008416
10,3273.74,0.94075,0.82949,1.25665,0.70294,0.50286,0.55117,0.40323,0.90629,0.6476,1.28939,0.008218,0.008218,0.008218
11,3597.72,0.92661,0.80533,1.24505,0.65076,0.56824,0.59117,0.43622,0.88867,0.64155,1.27675,0.00802,0.00802,0.00802
12,3921.88,0.90777,0.78452,1.2356,0.76,0.58401,0.61927,0.46023,0.87545,0.61891,1.26308,0.007822,0.007822,0.007822
13,4246,0.90044,0.76402,1.23107,0.61671,0.64475,0.61427,0.46619,0.85563,0.61837,1.24397,0.007624,0.007624,0.007624
14,4570.98,0.88667,0.74362,1.22127,0.78019,0.64006,0.64481,0.4846,0.84243,0.60507,1.23349,0.007426,0.007426,0.007426
15,4895.59,0.87975,0.73524,1.21246,0.66926,0.6434,0.62146,0.4644,0.8474,0.64385,1.2288,0.007228,0.007228,0.007228
16,5219.5,0.86646,0.7132,1.20743,0.64248,0.63414,0.61981,0.46036,0.81591,0.61856,1.20887,0.00703,0.00703,0.00703
17,5543.46,0.85519,0.70382,1.19984,0.61971,0.65364,0.60982,0.4565,0.8151,0.60043,1.20352,0.006832,0.006832,0.006832
18,5867.94,0.84973,0.69228,1.19488,0.67337,0.67186,0.62323,0.46709,0.81509,0.65348,1.20686,0.006634,0.006634,0.006634
19,6192.11,0.83786,0.68372,1.18915,0.67415,0.66048,0.6112,0.46433,0.81432,0.65498,1.20628,0.006436,0.006436,0.006436
20,6516.04,0.83516,0.67221,1.18346,0.64082,0.66749,0.62557,0.47557,0.80885,0.67274,1.20474,0.006238,0.006238,0.006238
21,6839.99,0.82566,0.65716,1.17749,0.67081,0.60183,0.62868,0.47294,0.80816,0.68664,1.20497,0.00604,0.00604,0.00604
22,7166.94,0.81869,0.65163,1.17417,0.67779,0.62066,0.61234,0.46518,0.79328,0.68627,1.19231,0.005842,0.005842,0.005842
23,7493.39,0.80596,0.63733,1.16694,0.66272,0.65447,0.62116,0.47538,0.79214,0.6818,1.18517,0.005644,0.005644,0.005644
24,7817.23,0.80503,0.62954,1.164,0.64414,0.67959,0.63189,0.47709,0.78304,0.69124,1.18098,0.005446,0.005446,0.005446
25,8141.16,0.79377,0.62591,1.16019,0.67365,0.61307,0.62413,0.47396,0.78418,0.69757,1.1798,0.005248,0.005248,0.005248
26,8465.55,0.78622,0.61066,1.1558,0.63008,0.6758,0.62093,0.47503,0.7818,0.71311,1.17955,0.00505,0.00505,0.00505
27,8789.87,0.77623,0.60209,1.14795,0.67504,0.63887,0.62565,0.47634,0.77577,0.68749,1.1785,0.004852,0.004852,0.004852
28,9113.93,0.76324,0.59372,1.14189,0.72124,0.61142,0.62809,0.47813,0.77294,0.68312,1.17587,0.004654,0.004654,0.004654
29,9438.05,0.76296,0.59088,1.14097,0.64342,0.69161,0.628,0.48127,0.76751,0.69103,1.1704,0.004456,0.004456,0.004456
30,9762.44,0.75461,0.57825,1.13493,0.73324,0.59468,0.62723,0.48295,0.76728,0.6969,1.17029,0.004258,0.004258,0.004258
31,10086.2,0.74354,0.56702,1.12913,0.66266,0.64139,0.62718,0.48484,0.76475,0.69858,1.16777,0.00406,0.00406,0.00406
32,10410.3,0.73994,0.5556,1.1266,0.66921,0.66514,0.62603,0.48352,0.76098,0.70283,1.16565,0.003862,0.003862,0.003862
33,10734.2,0.732,0.55306,1.12142,0.64657,0.6779,0.62066,0.47846,0.75946,0.69911,1.16478,0.003664,0.003664,0.003664
34,11058,0.72058,0.54024,1.11637,0.63556,0.68857,0.60996,0.47316,0.75746,0.70269,1.16305,0.003466,0.003466,0.003466
35,11381.8,0.71761,0.5362,1.1125,0.52813,0.69212,0.61449,0.47757,0.75567,0.70488,1.16162,0.003268,0.003268,0.003268
36,11706.1,0.71052,0.52975,1.10903,0.52611,0.68567,0.61653,0.47865,0.75407,0.71455,1.16032,0.00307,0.00307,0.00307
37,12031,0.70772,0.52444,1.10467,0.51336,0.69122,0.61679,0.47946,0.75246,0.72032,1.15952,0.002872,0.002872,0.002872
38,12356.1,0.69596,0.5146,1.09992,0.51174,0.69004,0.61611,0.47832,0.75175,0.72758,1.15971,0.002674,0.002674,0.002674
39,12682,0.69032,0.50373,1.09784,0.61946,0.69023,0.60894,0.47437,0.75109,0.73756,1.15981,0.002476,0.002476,0.002476
40,13007,0.68063,0.49832,1.0912,0.62097,0.68786,0.60773,0.47369,0.74987,0.74361,1.15877,0.002278,0.002278,0.002278
41,13336.1,0.62852,0.41063,1.06884,0.50346,0.69235,0.6078,0.47423,0.74837,0.74141,1.15794,0.00208,0.00208,0.00208
42,13659.3,0.61363,0.39869,1.06077,0.50044,0.67755,0.60871,0.47465,0.74602,0.73917,1.15637,0.001882,0.001882,0.001882
43,13982.7,0.59771,0.38568,1.05113,0.49845,0.6638,0.61198,0.47599,0.7439,0.73906,1.15518,0.001684,0.001684,0.001684
44,14306.1,0.58819,0.37689,1.04327,0.50003,0.663,0.61003,0.47388,0.74218,0.74231,1.15397,0.001486,0.001486,0.001486
45,14629.4,0.57355,0.36846,1.03478,0.50108,0.66233,0.60892,0.47358,0.74009,0.74407,1.15267,0.001288,0.001288,0.001288
46,14952.7,0.56193,0.35965,1.02659,0.50313,0.6602,0.61429,0.47758,0.73789,0.74534,1.15185,0.00109,0.00109,0.00109
47,15276,0.55493,0.34986,1.01949,0.50636,0.65546,0.61203,0.47536,0.7362,0.74757,1.15083,0.000892,0.000892,0.000892
48,15599.3,0.54201,0.34098,1.01113,0.5054,0.652,0.6105,0.47503,0.73482,0.7543,1.15037,0.000694,0.000694,0.000694
49,15922.6,0.53348,0.33397,1.00817,0.50482,0.65193,0.61017,0.47525,0.73371,0.7604,1.14996,0.000496,0.000496,0.000496
50,16246,0.52619,0.32895,1.0045,0.51413,0.6446,0.6101,0.47565,0.73269,0.76729,1.14959,0.000298,0.000298,0.000298
