epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52806,0.69781,2.00209,1.11164,0.76708,0.96538,0.9423,0.77166,1.06616,0.58175,1.1034,0,0,0
2,5.8564,0.90431,2.49546,1.37361,0.76971,0.96511,0.9687,0.77607,1.05703,0.5773,1.09973,1.17822e-06,1.17822e-06,1.17822e-06
3,6.81082,1.15138,2.23902,1.52402,0.76039,0.96667,0.96842,0.75298,1.06427,0.57543,1.1042,2.33288e-06,2.33288e-06,2.33288e-06
4,7.30442,0.90779,1.91919,1.21902,0.75928,0.96667,0.96816,0.75284,1.06544,0.57995,1.10457,3.46397e-06,3.46397e-06,3.46397e-06
5,8.42429,1.26568,1.96002,1.61397,0.7714,0.96667,0.96772,0.75137,1.06563,0.57988,1.10431,4.5715e-06,4.5715e-06,4.5715e-06
6,9.63473,0.68486,1.45404,1.16853,0.79547,0.96667,0.96773,0.75333,1.06368,0.58729,1.10506,5.65548e-06,5.65548e-06,5.65548e-06
7,10.7485,1.48984,2.46612,1.87401,0.78503,0.96667,0.96687,0.75267,1.05896,0.58029,1.10543,6.71588e-06,6.71588e-06,6.71588e-06
8,11.8592,0.95105,3.01882,1.53875,0.74723,0.96667,0.96772,0.75241,1.05068,0.57782,1.1051,7.75273e-06,7.75273e-06,7.75273e-06
9,13.3183,0.91649,1.79405,1.31847,0.74821,0.96667,0.9672,0.75314,1.04966,0.58443,1.10489,8.76602e-06,8.76602e-06,8.76602e-06
10,14.3933,0.87693,1.55096,1.45043,0.75751,0.96667,0.96721,0.74776,1.04997,0.59223,1.10458,9.75574e-06,9.75574e-06,9.75574e-06
11,15.4942,0.8929,0.68258,1.26765,0.76705,0.96667,0.9672,0.74774,1.05662,0.59678,1.10666,1.07219e-05,1.07219e-05,1.07219e-05
12,16.637,0.85108,1.52596,1.19884,0.79936,0.96667,0.96721,0.74535,1.04818,0.6137,1.10247,1.16645e-05,1.16645e-05,1.16645e-05
13,17.8357,0.82545,1.32598,1.16384,0.80175,0.96667,0.96739,0.74549,1.04336,0.61427,1.09885,1.25835e-05,1.25835e-05,1.25835e-05
