epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.352,1.22504,1.91435,1.26786,0.74698,0.54505,0.63847,0.48655,1.06401,0.97338,1.05648,1.785e-05,1.785e-05,1.785e-05
2,19.8129,1.26621,1.6001,1.25383,0.75467,0.53147,0.6461,0.49521,1.05953,0.95594,1.05423,3.61596e-05,3.61596e-05,3.61596e-05
3,21.3354,1.25775,1.57928,1.27323,0.75232,0.54277,0.63916,0.48647,1.05217,0.95197,1.05063,5.37152e-05,5.37152e-05,5.37152e-05
4,22.67,1.2302,1.43041,1.21752,0.76821,0.54964,0.65476,0.49774,1.04993,0.9511,1.04763,7.05168e-05,7.05168e-05,7.05168e-05
5,24.0806,1.16879,1.36111,1.21257,0.71981,0.57419,0.66596,0.506,1.0452,0.95387,1.04351,8.65644e-05,8.65644e-05,8.65644e-05
6,25.5633,1.2463,1.40011,1.22323,0.71682,0.5734,0.66657,0.50669,1.04405,0.95445,1.04402,0.000101858,0.000101858,0.000101858
7,26.991,1.16942,1.20863,1.20042,0.69044,0.61592,0.67479,0.50949,1.03948,0.94154,1.04375,0.000104863,0.000104863,0.000104863
8,28.4105,1.14895,1.29026,1.18656,0.7009,0.63089,0.68445,0.52312,1.03261,0.92049,1.04235,0.000102507,0.000102507,0.000102507
9,29.9222,1.18572,1.30796,1.21833,0.76593,0.59103,0.69127,0.52525,1.02683,0.89825,1.03774,0.00010015,0.00010015,0.00010015
10,31.3559,1.17667,1.20362,1.20311,0.75512,0.60685,0.6989,0.5382,1.02,0.87413,1.03421,9.77942e-05,9.77942e-05,9.77942e-05
11,32.7033,1.06345,1.12495,1.14225,0.80564,0.60129,0.70426,0.53648,1.00478,0.85001,1.02538,9.5438e-05,9.5438e-05,9.5438e-05
12,34.0259,1.12748,1.17121,1.15296,0.83951,0.59628,0.71468,0.54706,0.99551,0.83416,1.01887,9.30818e-05,9.30818e-05,9.30818e-05
13,35.4974,1.10956,1.09681,1.1391,0.83169,0.59312,0.71521,0.5493,0.98939,0.81611,1.01282,9.07256e-05,9.07256e-05,9.07256e-05
14,36.9195,1.1208,1.151,1.17821,0.70915,0.67545,0.72149,0.55423,0.98312,0.80196,1.00837,8.83694e-05,8.83694e-05,8.83694e-05
15,38.3366,1.11425,1.09303,1.15252,0.72328,0.68014,0.72596,0.55991,0.97464,0.79024,1.00247,8.60132e-05,8.60132e-05,8.60132e-05
16,39.7749,1.12581,1.10131,1.16057,0.74608,0.67427,0.72752,0.56505,0.97074,0.78329,0.99992,8.3657e-05,8.3657e-05,8.3657e-05
17,41.1878,1.11773,1.03536,1.13195,0.7554,0.67014,0.73375,0.57253,0.9663,0.7776,0.99757,8.13008e-05,8.13008e-05,8.13008e-05
18,42.5448,1.11498,1.12553,1.14416,0.76773,0.67484,0.73884,0.57835,0.9561,0.77022,0.99245,7.89446e-05,7.89446e-05,7.89446e-05
19,43.9584,1.05196,0.99659,1.11132,0.7771,0.6786,0.74373,0.58135,0.95037,0.76002,0.98959,7.65884e-05,7.65884e-05,7.65884e-05
20,45.3616,1.07409,1.09555,1.12227,0.77504,0.68953,0.74993,0.58502,0.94325,0.75044,0.98808,7.42322e-05,7.42322e-05,7.42322e-05
21,46.741,1.06729,1.01649,1.13378,0.76257,0.69703,0.75143,0.58582,0.93692,0.74155,0.98563,7.1876e-05,7.1876e-05,7.1876e-05
22,48.1908,1.03506,0.9954,1.11992,0.76497,0.70339,0.75371,0.58799,0.92754,0.7317,0.98103,6.95198e-05,6.95198e-05,6.95198e-05
23,49.5794,1.09928,1.05001,1.16039,0.75668,0.70572,0.75854,0.59192,0.92247,0.72215,0.97695,6.71636e-05,6.71636e-05,6.71636e-05
24,50.9571,1.01589,0.99942,1.09778,0.78463,0.69887,0.76158,0.59491,0.91764,0.71912,0.9742,6.48074e-05,6.48074e-05,6.48074e-05
25,52.3651,1.04098,0.99103,1.12165,0.7696,0.70088,0.76472,0.59858,0.91142,0.71213,0.97143,6.24512e-05,6.24512e-05,6.24512e-05
26,53.7766,1.00141,0.9555,1.09865,0.77572,0.70739,0.76601,0.60073,0.90469,0.71082,0.96897,6.0095e-05,6.0095e-05,6.0095e-05
27,55.1815,1.05064,0.9758,1.11264,0.78159,0.70909,0.76838,0.6066,0.89861,0.70765,0.96649,5.77388e-05,5.77388e-05,5.77388e-05
28,56.6594,1.06819,0.97174,1.10772,0.78143,0.70862,0.76987,0.60709,0.89494,0.69906,0.96587,5.53826e-05,5.53826e-05,5.53826e-05
29,58.0464,1.03187,1.02513,1.13899,0.78284,0.7076,0.77,0.60598,0.89349,0.69248,0.9637,5.30264e-05,5.30264e-05,5.30264e-05
30,59.3621,1.025,0.97213,1.12187,0.78864,0.70489,0.77125,0.60758,0.88685,0.68682,0.96124,5.06702e-05,5.06702e-05,5.06702e-05
31,60.7468,0.99377,0.89711,1.09086,0.78505,0.71072,0.77165,0.60998,0.88039,0.68388,0.95853,4.8314e-05,4.8314e-05,4.8314e-05
32,62.131,0.9809,0.93845,1.10376,0.79516,0.70823,0.7774,0.61691,0.87495,0.67792,0.9564,4.59578e-05,4.59578e-05,4.59578e-05
33,63.5771,1.01556,0.94814,1.09656,0.79449,0.71064,0.77971,0.62023,0.87425,0.6752,0.9548,4.36016e-05,4.36016e-05,4.36016e-05
34,65.0049,1.00199,0.92159,1.09806,0.81258,0.71278,0.78592,0.62534,0.87462,0.67371,0.95448,4.12454e-05,4.12454e-05,4.12454e-05
35,66.3914,0.97211,0.90027,1.08799,0.80442,0.71473,0.783,0.62705,0.87049,0.6674,0.95298,3.88892e-05,3.88892e-05,3.88892e-05
36,67.8185,1.02173,0.94819,1.09267,0.81036,0.71064,0.78086,0.62354,0.86752,0.6629,0.95176,3.6533e-05,3.6533e-05,3.6533e-05
37,69.1402,0.99055,0.8814,1.07384,0.80878,0.71335,0.78201,0.62531,0.86396,0.65904,0.95056,3.41768e-05,3.41768e-05,3.41768e-05
38,70.4585,0.96034,0.88179,1.06344,0.81788,0.71298,0.78698,0.63256,0.86201,0.65612,0.94969,3.18206e-05,3.18206e-05,3.18206e-05
39,71.8976,0.96838,0.87091,1.08228,0.81658,0.71371,0.78569,0.62946,0.86123,0.65616,0.94895,2.94644e-05,2.94644e-05,2.94644e-05
40,73.1883,0.9877,0.92852,1.08029,0.81878,0.7097,0.78225,0.62516,0.85847,0.65179,0.9474,2.71082e-05,2.71082e-05,2.71082e-05
41,74.8935,0.94352,0.93076,1.04024,0.81414,0.71062,0.78528,0.62777,0.86192,0.65885,0.94879,2.4752e-05,2.4752e-05,2.4752e-05
42,76.2115,0.9759,0.91255,1.04392,0.82691,0.69964,0.77977,0.61779,0.87286,0.68067,0.95211,2.23958e-05,2.23958e-05,2.23958e-05
43,77.5324,0.99285,0.96215,1.05004,0.80145,0.70536,0.77573,0.61413,0.88211,0.69495,0.95523,2.00396e-05,2.00396e-05,2.00396e-05
44,78.9923,0.9601,0.89413,1.05304,0.80411,0.71179,0.77612,0.61273,0.88657,0.69926,0.95587,1.76834e-05,1.76834e-05,1.76834e-05
45,80.2986,0.99824,0.95607,1.0707,0.83401,0.68255,0.77419,0.61168,0.89077,0.70276,0.95626,1.53272e-05,1.53272e-05,1.53272e-05
46,81.5852,0.93155,0.82947,1.01925,0.80634,0.69855,0.77222,0.61324,0.88616,0.69795,0.95296,1.2971e-05,1.2971e-05,1.2971e-05
47,82.8974,0.94484,0.79929,1.03747,0.82287,0.67926,0.77245,0.61221,0.88378,0.69732,0.9523,1.06148e-05,1.06148e-05,1.06148e-05
48,84.1915,0.93643,0.82146,1.03014,0.80558,0.69402,0.77569,0.61401,0.88321,0.69689,0.95188,8.2586e-06,8.2586e-06,8.2586e-06
49,85.4957,0.95656,0.82757,1.04216,0.79431,0.69853,0.77353,0.61233,0.88272,0.69827,0.95161,5.9024e-06,5.9024e-06,5.9024e-06
50,86.8587,0.96609,0.8346,1.03354,0.79684,0.69785,0.77174,0.60891,0.88427,0.7019,0.95271,3.5462e-06,3.5462e-06,3.5462e-06
